pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
25.0,25015,-59.1,-87.6,15.0,13.0,-3.3646475863327696,-12.557035741757888,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
23.5,25402,-59.5,-87.5,46.0,16.0,-11.509436805418416,-11.114533927343956,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
22.7,25617,-59.9,-88.9,64.0,18.0,-16.178292833385004,-7.890680642203394,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
22.0,25813,-59.4,-88.7,80.0,20.0,-19.69615506024416,-3.4729635533386083,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
21.0,26104,-58.6,-88.3,40.0,16.0,-10.284601754984628,-12.256711089903648,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
20.4,26286,-58.1,-88.1,31.0,15.0,-7.725571123650813,-12.857509510531685,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
20.0,26410,-57.9,-86.9,25.0,15.0,-6.339273926110492,-13.59461680554975,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.9,26442,-57.9,-86.9,29.0,14.0,-6.7873346834487185,-12.24467589995154,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.7,26505,-58.1,-87.1,38.0,12.0,-7.3879377039079,-9.456129043280663,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.0,26734,-57.4,-86.9,70.0,6.0,-5.63815572471545,-2.052120859954013,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
18.3,26971,-56.7,-86.7,25.0,12.0,-5.071419140888393,-10.8756934444398,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
18.0,27076,-56.7,-86.7,5.0,14.0,-1.2201803984672144,-13.946725773284438,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
17.0,27438,-56.5,-86.5,350.0,13.0,2.257426309670095,-12.802500789158705,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
16.4,27666,-56.1,-86.1,14.0,16.0,-3.870750329594684,-15.524731620415944,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
16.0,27823,-55.9,-85.9,30.0,18.0,-8.999999999999998,-15.588457268119896,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
15.9,27863,-55.9,-85.9,29.0,18.0,-8.726573164434066,-15.743154728509124,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
15.0,28233,-55.8,-85.8,20.0,18.0,-6.156362579862037,-16.914467174146353,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
14.0,28672,-55.8,-85.8,20.0,13.0,-4.446261863233693,-12.21600407021681,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
13.4,28951,-55.7,-85.7,53.0,17.0,-13.576803670803978,-10.23085539358482,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
13.0,29144,-55.5,-85.5,75.0,20.0,-19.31851652578137,-5.176380902050415,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.7,29293,-55.3,-85.3,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.1,29601,-55.5,-85.5,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.0,29654,-55.7,-85.7,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
